"actor","repository_language","pushes"
"zhanzhenzhen","CoffeeScript","79"
"Takazudo","CoffeeScript","74"
"molily","CoffeeScript","99"
"stefanbeeman","CoffeeScript","11"
"island205","CoffeeScript","34"
"dduvnjak","CoffeeScript","32"
"freewil","CoffeeScript","27"
"ysmood","CoffeeScript","111"
"smblott-github","CoffeeScript","86"
"searls","CoffeeScript","107"
"japboy","CoffeeScript","119"
"caiguanhao","CoffeeScript","27"
"tu1ly","CoffeeScript","28"
"flosse","CoffeeScript","125"
"MatAndDev","CoffeeScript","21"
"pspeter3","CoffeeScript","27"
"vol4ok","CoffeeScript","23"
"lucassus","CoffeeScript","172"
"shyiko","CoffeeScript","61"
"richthegeek","CoffeeScript","51"
"apfohl","CoffeeScript","10"
"ai","CoffeeScript","124"
"kbackowski","CoffeeScript","42"
"blainekasten","CoffeeScript","33"
"ryw","CoffeeScript","205"
"queso","CoffeeScript","64"
"saltinejustine","CoffeeScript","62"
"straydogstudio","CoffeeScript","48"
"ibuprotein","CoffeeScript","13"
"Crenshinibon","CoffeeScript","114"
"rantav","CoffeeScript","53"
"mennopruijssers","CoffeeScript","20"
"kylemac","CoffeeScript","24"
"edwoodward","CoffeeScript","39"
"zeke","CoffeeScript","107"
"stianeikeland","CoffeeScript","45"
"RoboTeddy","CoffeeScript","20"
"gredig","CoffeeScript","15"
"ddollar","CoffeeScript","171"
"jeffpeterson","CoffeeScript","90"
"david-geo-holmes","CoffeeScript","15"
"franklovecchio","CoffeeScript","100"
"giibran","CoffeeScript","18"
"Peximaximum","CoffeeScript","56"
"jvatic","CoffeeScript","197"
"csquared","CoffeeScript","77"
"floydpink","CoffeeScript","21"
"EFF","CoffeeScript","77"
"GulinSS","CoffeeScript","55"
"balbeko","CoffeeScript","12"
"piranha","CoffeeScript","18"
"nelsondelega","CoffeeScript","41"
"alexkwolfe","CoffeeScript","21"
"ChrisRus","CoffeeScript","160"
"adunkman","CoffeeScript","77"
"marcker","CoffeeScript","117"
"tonydewan","CoffeeScript","14"
"SomeHats","CoffeeScript","51"
"emerge","CoffeeScript","405"
"shipstar","CoffeeScript","18"
"vansanblch","CoffeeScript","49"
"louisrli","CoffeeScript","27"
"tyler-elric","CoffeeScript","23"
"elju","CoffeeScript","56"
"lmorchard","CoffeeScript","159"
"codyaustun","CoffeeScript","102"
"xdissent","CoffeeScript","93"
"bcarrell","CoffeeScript","176"
"pushandplay","CoffeeScript","21"
"kyriesent","CoffeeScript","16"
"flockonus","CoffeeScript","17"
"L8D","CoffeeScript","59"
"niclashoyer","CoffeeScript","89"
"DavidSouther","CoffeeScript","96"
"grassick","CoffeeScript","112"
"AVVS","CoffeeScript","139"
"giggio","CoffeeScript","354"
"twe4ked","CoffeeScript","17"
"inossidabile","CoffeeScript","619"
"seaweedchan","CoffeeScript","212"
"IOsonoTAN","CoffeeScript","32"
"sparanoid","CoffeeScript","175"
"zondezatera","CoffeeScript","49"
"kunjee17","CoffeeScript","43"
"zenozeng","CoffeeScript","51"
"dapi","CoffeeScript","216"
"shawnvan","CoffeeScript","38"
"pohmelie","CoffeeScript","177"
"moonwa","CoffeeScript","78"
"sectore","CoffeeScript","30"
"Atte","CoffeeScript","32"
"sebvst","CoffeeScript","43"
"willettk","CoffeeScript","14"
"djalmaaraujo","CoffeeScript","22"
"propercursive","CoffeeScript","27"
"benjreinhart","CoffeeScript","314"
"isaacwhale","CoffeeScript","37"
"banterability","CoffeeScript","73"
"charlesjshort","CoffeeScript","110"
"szimek","CoffeeScript","19"
"jgater","CoffeeScript","51"
"ponko23","CoffeeScript","18"
"edeustace","CoffeeScript","58"
"facundoolano","CoffeeScript","39"
"jonslaught","CoffeeScript","95"
"boronine","CoffeeScript","18"
"jesusprubio","CoffeeScript","48"
"colintoh","CoffeeScript","14"
"pushrax","CoffeeScript","189"
"justindhill","CoffeeScript","58"
"jahfer","CoffeeScript","19"
"taras","CoffeeScript","51"
"Greduan","CoffeeScript","90"
"andreaskurz","CoffeeScript","41"
"gtb104","CoffeeScript","30"
"vicanso","CoffeeScript","38"
"tomazy","CoffeeScript","34"
"jpillora","CoffeeScript","263"
"jan0sch","CoffeeScript","50"
"jackdbernier","CoffeeScript","209"
"davidbanham","CoffeeScript","177"
"chakrit","CoffeeScript","38"
"huacnlee","CoffeeScript","39"
"mathphreak","CoffeeScript","30"
"obfusk","CoffeeScript","69"
"px","CoffeeScript","165"
"rotach","CoffeeScript","24"
"JanMiksovsky","CoffeeScript","220"
"shstefanov","CoffeeScript","13"
"doomspork","CoffeeScript","25"
"fatboypunk","CoffeeScript","31"
"d4tocchini","CoffeeScript","114"
"iancboswell","CoffeeScript","17"
"joshuap","CoffeeScript","15"
"dgehrett","CoffeeScript","91"
"fw42","CoffeeScript","13"
"caiogondim","CoffeeScript","38"
"giodamelio","CoffeeScript","204"
"jtslear","CoffeeScript","24"
"NStal","CoffeeScript","42"
"almirfilho","CoffeeScript","47"
"alexmoon","CoffeeScript","21"
"jgable","CoffeeScript","110"
"joyrexus","CoffeeScript","61"
"yaph","CoffeeScript","19"
"MorehouseJ09","CoffeeScript","364"
"michaelficarra","CoffeeScript","390"
"Ky6uk","CoffeeScript","89"
"glorieux","CoffeeScript","32"
"CMToups","CoffeeScript","82"
"smrchy","CoffeeScript","109"
"ltartari","CoffeeScript","34"
"weakish","CoffeeScript","19"
"voidcontext","CoffeeScript","14"
"tdumitrescu","CoffeeScript","18"
"KellyLSB","CoffeeScript","25"
"wmelton12","CoffeeScript","104"
"binarycleric","CoffeeScript","18"
"daemonl","CoffeeScript","49"
"mustafa-zidan","CoffeeScript","13"
"jules27","CoffeeScript","19"
"iamwilhelm","CoffeeScript","31"
"zh99998","CoffeeScript","107"
"omarshammas","CoffeeScript","59"
"phillipalexander","CoffeeScript","10"
"zackwong","CoffeeScript","31"
"lorennorman","CoffeeScript","11"
"ezzatron","CoffeeScript","77"
"kintendo","CoffeeScript","20"
