"repository_language","actor_attributes_location","loccnt"
"C++","Prague, Czech Republic","2808"
"JavaScript","Half Moon Bay, CA","2803"
"Ruby","Adelaide, Australia","2798"
"Ruby","Rome, Italy","2798"
"Java","Russia, Omsk","2797"
"PHP","Berkeley, CA","2796"
"Ruby","Milan, Italy","2793"
"JavaScript","Zagreb, Croatia","2793"
"Shell","Berkeley, CA","2789"
"JavaScript","Porto Alegre, Brazil","2788"
"JavaScript","Ukraine, Kiev","2783"
"C#","Stockholm, Sweden","2780"
"PHP","Riga, Latvia","2778"
"Ruby","Rio de Janeiro, Brazil","2778"
"JavaScript","Detroit, MI","2777"
"Objective-C","San Jose, CA","2769"
"Java","Arlington, WA","2765"
